name,year,competition_category,winner,url,summary,countries,languages,genre,metascore
Atlantic City,1981,DIRECTING,FALSE,https://www.metacritic.com/movie/atlantic-city/details,"In a corrupt city, a small-time gangster and the estranged wife of a pot dealer find themselves thrown together in an escapade of love, money, drugs and danger.","['FR', 'CA']","['English', 'French']","['Drama', 'Romance', 'Crime']",85
Chariots of Fire,1981,DIRECTING,FALSE,https://www.metacritic.com/movie/chariots-of-fire/details,"Two British track athletes, one a determined Jew and the other a devout Christian, compete in the 1924 Olympics.",['GB'],"['English', 'French']","['Biography', 'Drama', 'Sport']",78
On Golden Pond,1981,DIRECTING,FALSE,https://www.metacritic.com/movie/on-golden-pond/details,"Originally a successful Broadway play, Ernest Thompson's On Golden Pond, the film features  Norman (Henry Fonda), a curmudgeon with an estranged relationship with his daughter Chelsea (Jane Fonda). At Golden Pond, he and his wife (Katharine Hepburn) nevertheless agree to care for Billy, the son of Chelsea's new boyfriend (Dabney Coleman), and a most unexpected relationship blooms.","['GB', 'US']",['English'],['Drama'],68
Raiders of the Lost Ark,1981,DIRECTING,FALSE,https://www.metacritic.com/movie/raiders-of-the-lost-ark/details,"You're in for thrills as Indiana Jones (Harrison Ford) confronts snakes, Nazis and one astonishing cliffhanger after another -- all topped off by the discovery and opening of the mystical Ark of the Covenant. [Paramount Pictures]",['USA'],"['English', 'German', 'Spanish', 'Arabic', 'Hebrew', 'Nepali']","['Action', 'Adventure']",85
Reds,1981,DIRECTING,TRUE,https://www.metacritic.com/movie/reds/details,A radical American journalist (Warren Beatty) becomes involved with the Communist revolution in Russia and hopes to bring its spirit and idealism to the United States.,['USA'],"['English', 'German', 'French', 'Russian', 'Italian', 'Finnish']","['Biography', 'Drama', 'History', 'Romance']",76
Das Boot,1982,DIRECTING,FALSE,https://www.metacritic.com/movie/das-boot/details,"It is 1942 and the German submarine fleet is heavily engaged in the so called ""Battle of the Atlantic"" to harass and destroy English shipping. With better escorts of the Destroyer Class, however, German U-Boats have begun to take heavy losses. Das Boot is the story of one such U-Boat crew, with the film examining how these submariners maintained their professionalism as soldiers, attempted to accomplish impossible missions, while all the time attempting to understand and obey the ideology of the government under which they served. (Sony Pictures)",['West Germany'],"['English', 'German', 'French']","['Action', 'Drama', 'History', 'War']",86
Gandhi,1982,DIRECTING,TRUE,https://www.metacritic.com/movie/gandhi/details,"Gandhi's character is fully explained as a man of nonviolence. Through his patience, he is able to drive the British out of the subcontinent. And the stubborn nature of Jinnah and his commitment towards Pakistan is portrayed.","['GB', 'US', 'IN']",['English'],"['Biography', 'Drama', 'History']",79
Tootsie,1982,DIRECTING,FALSE,https://www.metacritic.com/movie/tootsie/details,"Unable to get an acting job, Michael Dorsey (Hoffman) becomes Dorothy Michaels and gets a part in a New York soap opera.",['USA'],['English'],"['Drama', 'Comedy', 'Romance']",88
The Verdict,1982,DIRECTING,FALSE,https://www.metacritic.com/movie/the-verdict/details,An attorney (Paul Newman) recognizes the opportunity to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.,['US'],['English'],['Drama'],77
Missing,1982,BEST PICTURE,FALSE,https://www.metacritic.com/movie/missing/details,"When an idealistic American writer disappears during the Chilean coup d'état in September 1973, his wife and father try to find him.",['US'],"['English', 'French', 'Spanish']","['Biography', 'Drama', 'History', 'Mystery', 'Thriller']",78
Silkwood,1983,DIRECTING,FALSE,https://www.metacritic.com/movie/silkwood/details,"Karen Silkwood (Streep), a nuclear plant worker strives to expose the safety violations at her workplace.",['USA'],['English'],"['Biography', 'Drama', 'Thriller']",64
Tender Mercies,1983,DIRECTING,FALSE,https://www.metacritic.com/movie/tender-mercies/details,"A broken-down, middle-aged country singer gets a new wife, reaches out to his long-lost daughter, and tries to put his troubled life back together.",['US'],['English'],"['Drama', 'Music']",76
Terms of Endearment,1983,DIRECTING,TRUE,https://www.metacritic.com/movie/terms-of-endearment/details,"Following the mother-daughter relationship of Aurora Greenway (MacLaine) who doesn't like it when her daughter Emma (Winger) marries Flap (Daniels).
",['USA'],['English'],"['Drama', 'Comedy', 'Romance']",79
The Big Chill,1983,BEST PICTURE,FALSE,https://www.metacritic.com/movie/the-big-chill/details,"Good friends reunite for the funeral of a college pal. During the weekend that follows, they compare their 60's ideas with the harsh reality of their lives in the 80's, and discover that in a cold world, you need your friends to keep you warm. [Sony Pictures]",['USA'],['English'],"['Drama', 'Comedy']",61
The Right Stuff,1983,BEST PICTURE,FALSE,https://www.metacritic.com/movie/the-right-stuff/details,"The story of the original Mercury 7 astronauts and their macho, seat-of-the-pants approach to the space program.",['US'],"['English', 'Russian']","['Adventure', 'Biography', 'Drama', 'History']",91
Broadway Danny Rose,1984,DIRECTING,FALSE,https://www.metacritic.com/movie/broadway-danny-rose/details,"In his attempts to reconcile a lounge singer with his mistress, a hapless talent agent is mistaken as her lover by a jealous gangster.",['US'],"['English', 'Italian', 'Yiddish']",['Comedy'],82
The Killing Fields,1984,DIRECTING,FALSE,https://www.metacritic.com/movie/the-killing-fields/details,"A photographer is trapped in Cambodia during tyrant Pol Pot's bloody ""Year Zero"" cleansing campaign, which claimed the lives of two million ""undesirable"" civilians.",['UK'],"['English', 'French', 'Russian', 'Central Khmer']","['Drama', 'History', 'War']",76
A Passage to India,1984,DIRECTING,FALSE,https://www.metacritic.com/movie/a-passage-to-india/details,"Cultural mistrust and false accusations doom a friendship in British colonial India between an Indian doctor, an Englishwoman engaged to marry a city magistrate, and an English educator.","['GB', 'US']","['English', 'Hindi']","['Adventure', 'Drama', 'History']",78
Places in the Heart,1984,DIRECTING,FALSE,https://www.metacritic.com/movie/places-in-the-heart/details,"In central Texas in the 1930s, a widow, with two small children, tries to run her small 40-acre farm with the help of two disparate people.",['US'],['English'],['Drama'],70
A Soldier's Story,1984,BEST PICTURE,FALSE,https://www.metacritic.com/movie/a-soldiers-story/details,An African American officer investigates a murder in a racially charged situation in World War II.,['US'],['English'],"['Drama', 'Mystery', 'Crime', 'War']",66
Out of Africa,1985,DIRECTING,TRUE,https://www.metacritic.com/movie/out-of-africa/details,"In 20th-century colonial Kenya, a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter.","['GB', 'US']","['English', 'Swahili']","['Biography', 'Drama', 'Romance']",69
Prizzi's Honor,1985,DIRECTING,FALSE,https://www.metacritic.com/movie/prizzis-honor/details,A professional hitman and hitwoman fall in love.,['US'],"['English', 'Italian']","['Drama', 'Comedy', 'Romance', 'Crime']",84
Ran,1985,DIRECTING,FALSE,https://www.metacritic.com/movie/ran/details,"An adaptation of William Shakespeare’s King Lear, Ran considers the disastrous consequences of Lord Hidetora Ichimonji’s (Tatsuya Nakadai) decision to split his kingdom among his three sons.","['Japan', 'France']",['Japanese'],"['Action', 'Drama', 'War']",96
